Asta hos mormor,2021-09-17 12:30:00+00:00,2021-09-17 15:30:00+00:00,None,None
Asta - problemlösning,2021-09-06 10:30:00+02:00,2021-09-06 11:30:00+02:00,None,None
Asta - berikning,2021-09-07 10:30:00+02:00,2021-09-07 11:30:00+02:00,None,None
Asta - nytt trix (rally?),2021-09-22 10:30:00+02:00,2021-09-22 11:30:00+02:00,None,None
Asta - dogparkour,2021-09-23 10:30:00+02:00,2021-09-23 11:30:00+02:00,None,None
Asta - klöjvning/jogging,2021-09-24 10:30:00+02:00,2021-09-24 11:30:00+02:00,None,None
Asta - nytt trix,2021-09-13 10:30:00+02:00,2021-09-13 11:30:00+02:00,None,None
Asta - nosarbete,2021-09-14 10:30:00+02:00,2021-09-14 11:30:00+02:00,None,None
Asta - berikning (naturliga beteenden),2021-09-15 10:30:00+02:00,2021-09-15 11:30:00+02:00,None,None
"Asta - dogparkour, utmaning",2021-09-16 10:30:00+02:00,2021-09-16 11:30:00+02:00,None,None
"Asta - dogparkour, utmaning",2021-09-16 11:30:00+02:00,2021-09-16 12:30:00+02:00,None,None
"Asta - lydnad (stanna, inkallning)",2021-09-17 10:30:00+02:00,2021-09-17 11:30:00+02:00,None,None
Asta - problemlösning,2021-10-18 11:00:00+02:00,2021-10-18 12:00:00+02:00,None,None
Asta - berikning,2021-10-19 11:00:00+02:00,2021-10-19 12:00:00+02:00,None,None
Asta - nytt trix (rally?),2021-10-20 11:00:00+02:00,2021-10-20 12:00:00+02:00,None,None
Asta - dogparkour,2021-10-21 11:00:00+02:00,2021-10-21 12:00:00+02:00,None,None
Asta - klöjvning/jogging,2021-10-22 11:00:00+02:00,2021-10-22 12:00:00+02:00,None,None
Asta - nosarbete,2021-10-26 11:00:00+02:00,2021-10-26 12:00:00+02:00,None,None
Asta - berikning (naturliga beteenden),2021-10-27 11:00:00+02:00,2021-10-27 12:00:00+02:00,None,None
"Asta - dogparkour, utmaning",2021-10-28 11:00:00+02:00,2021-10-28 12:00:00+02:00,None,None
"Asta - lydnad (stanna, inkallning)",2021-10-29 11:00:00+02:00,2021-10-29 12:00:00+02:00,None,None
Asta - nytt trix,2021-10-25 11:00:00+02:00,2021-10-25 12:00:00+02:00,None,None
Asta - nytt trix,2021-11-08 10:30:00+01:00,2021-11-08 11:30:00+01:00,None,None
Asta,2021-02-22 06:30:00+01:00,2021-02-22 08:00:00+01:00,None,None
Asta,2021-03-24 06:30:00+01:00,2021-03-24 08:00:00+01:00,None,None
Asta,2021-03-25 06:00:00+01:00,2021-03-25 08:00:00+01:00,None,None
Asta,2021-04-21 06:30:00+02:00,2021-04-21 07:30:00+02:00,None,None
Asta,2021-08-03 06:30:00+02:00,2021-08-03 08:30:00+02:00,None,None
Asta,2021-08-04 06:00:00+02:00,2021-08-04 08:00:00+02:00,None,None
Asta,2021-08-05 07:00:00+02:00,2021-08-05 09:00:00+02:00,None,None
Asta,2021-08-06 07:00:00+02:00,2021-08-06 09:00:00+02:00,None,None
Asta,2021-08-26 06:00:00+02:00,2021-08-26 07:30:00+02:00,None,None
Asta,2021-08-27 06:00:00+02:00,2021-08-27 07:30:00+02:00,None,None
Asta,2021-11-02 05:30:00+01:00,2021-11-02 07:00:00+01:00,None,None
Asta,2021-11-30 06:30:00+01:00,2021-11-30 07:15:00+01:00,None,None
Asta,2021-12-01 06:45:00+01:00,2021-12-01 07:30:00+01:00,None,None
Asta,2021-11-03 06:30:00+01:00,2021-11-03 08:00:00+01:00,None,None
Asta - nytt trix,2021-11-22 10:30:00+01:00,2021-11-22 11:30:00+01:00,None,None
Asta - nosarbete,2021-11-09 10:30:00+01:00,2021-11-09 11:30:00+01:00,None,None
Asta - berikning (naturliga beteenden),2021-11-10 10:30:00+01:00,2021-11-10 11:30:00+01:00,None,None
"Asta - dogparkour, utmaning",2021-11-11 10:30:00+01:00,2021-11-11 11:30:00+01:00,None,None
"Asta - lydnad (stanna, inkallning)",2021-11-12 10:30:00+01:00,2021-11-12 11:30:00+01:00,None,None
Asta - problemlösning,2021-11-01 10:30:00+01:00,2021-11-01 11:30:00+01:00,None,None
Asta - berikning,2021-11-02 10:30:00+01:00,2021-11-02 11:30:00+01:00,None,None
Asta - nytt trix (rally?),2021-11-03 10:30:00+01:00,2021-11-03 11:30:00+01:00,None,None
Asta - dogparkour,2021-11-04 10:30:00+01:00,2021-11-04 11:30:00+01:00,None,None
Asta - klöjvning/jogging,2021-11-05 10:30:00+01:00,2021-11-05 11:30:00+01:00,None,None
Asta,2022-01-05 05:00:00+00:00,2022-01-05 07:00:00+00:00,None,None
Asta,2021-12-06 10:00:00+01:00,2021-12-06 11:30:00+01:00,None,None
Asta - löpning (snö),2021-12-10 07:30:00+01:00,2021-12-10 08:30:00+01:00,None,None
Asta,2021-12-13 09:30:00+01:00,2021-12-13 11:30:00+01:00,None,None
Asta,2021-12-17 10:00:00+01:00,2021-12-17 11:00:00+01:00,None,None
Asta,2021-12-27 10:00:00+01:00,2021-12-27 11:00:00+01:00,None,None
Asta - problemlösning,2021-12-13 13:00:00+01:00,2021-12-13 13:30:00+01:00,None,None
Asta - berikning,2021-12-14 13:00:00+01:00,2021-12-14 13:30:00+01:00,None,None
Asta - nytt trix (rally?),2021-12-15 13:00:00+01:00,2021-12-15 13:30:00+01:00,None,None
Asta - dogparkour,2021-12-16 13:00:00+01:00,2021-12-16 13:30:00+01:00,None,None
Asta - klöjvning/jogging,2021-12-17 13:00:00+01:00,2021-12-17 13:30:00+01:00,None,None
Asta - klöjvning/jogging,2021-12-17 12:00:00+01:00,2021-12-17 13:00:00+01:00,None,None
Asta,2021-12-27 13:30:00+01:00,2021-12-27 14:00:00+01:00,None,None
Asta - nytt trix,2021-12-06 13:00:00+01:00,2021-12-06 13:30:00+01:00,None,None
Asta - nosarbete,2021-12-07 13:00:00+01:00,2021-12-07 13:30:00+01:00,None,None
Asta - berikning (naturliga beteenden),2021-12-08 13:00:00+01:00,2021-12-08 13:30:00+01:00,None,None
"Asta - dogparkour, utmaning",2021-12-09 13:00:00+01:00,2021-12-09 13:30:00+01:00,None,None
"Asta - lydnad (stanna, inkallning)",2021-12-10 13:00:00+01:00,2021-12-10 13:30:00+01:00,None,None
"Asta - lydnad (stanna, inkallning)",2021-12-10 11:30:00+01:00,2021-12-10 12:00:00+01:00,None,None
Asta,2022-01-10 12:30:00+01:00,2022-01-10 13:00:00+01:00,None,None
Asta,2022-01-13 11:30:00+01:00,2022-01-13 12:00:00+01:00,None,None
Asta,2022-01-10 07:30:00+01:00,2022-01-10 09:00:00+01:00,None,None
Asta,2022-01-12 09:00:00+01:00,2022-01-12 10:00:00+01:00,None,None
Asta,2022-01-13 07:00:00+01:00,2022-01-13 08:30:00+01:00,None,None
Asta,2022-01-17 10:30:00+01:00,2022-01-17 11:30:00+01:00,None,None
Asta,2022-01-18 10:30:00+01:00,2022-01-18 11:30:00+01:00,None,None
Asta,2022-01-18 10:00:00+01:00,2022-01-18 11:00:00+01:00,None,None
Asta,2022-01-17 14:30:00+01:00,2022-01-17 15:30:00+01:00,None,None
Asta,2022-01-17 07:30:00+01:00,2022-01-17 08:30:00+01:00,None,None
Asta,2022-01-19 14:15:00+01:00,2022-01-19 15:15:00+01:00,None,None
Asta,2022-01-20 14:00:00+01:00,2022-01-20 15:00:00+01:00,None,None
Asta,2022-01-26 13:00:00+01:00,2022-01-26 14:00:00+01:00,None,None
Asta,2022-01-27 12:30:00+01:00,2022-01-27 13:30:00+01:00,None,None
Asta,2022-01-28 13:00:00+01:00,2022-01-28 14:00:00+01:00,None,None
Asta,2022-01-31 12:15:00+01:00,2022-01-31 13:15:00+01:00,None,None
Asta,2022-02-02 13:30:00+01:00,2022-02-02 14:30:00+01:00,None,None
Asta,2022-02-03 14:00:00+01:00,2022-02-03 15:00:00+01:00,None,None
Asta,2022-02-07 10:30:00+01:00,2022-02-07 12:00:00+01:00,None,None
Asta,2022-01-19 10:00:00+01:00,2022-01-19 11:00:00+01:00,None,None
Asta,2022-01-21 09:00:00+01:00,2022-01-21 10:00:00+01:00,None,None
Asta,2022-01-25 09:30:00+01:00,2022-01-25 11:00:00+01:00,None,None
Asta,2022-01-26 09:30:00+01:00,2022-01-26 10:30:00+01:00,None,None
Asta,2022-01-27 10:00:00+01:00,2022-01-27 11:00:00+01:00,None,None
Asta,2022-01-28 10:15:00+01:00,2022-01-28 11:15:00+01:00,None,None
Asta,2022-01-31 09:30:00+01:00,2022-01-31 10:30:00+01:00,None,None
Asta - problemlösning,2022-01-10 12:00:00+01:00,2022-01-10 12:30:00+01:00,None,None
Asta - berikning,2022-01-11 12:00:00+01:00,2022-01-11 12:30:00+01:00,None,None
Asta - nytt trix (rally?),2022-01-12 12:00:00+01:00,2022-01-12 12:30:00+01:00,None,None
Asta,2022-02-07 14:30:00+01:00,2022-02-07 15:30:00+01:00,None,None
Asta,2022-02-07 14:30:00+01:00,2022-02-07 16:00:00+01:00,None,None
Asta - dogparkour,2022-01-13 12:00:00+01:00,2022-01-13 12:30:00+01:00,None,None
Asta - dogparkour,2022-01-13 11:00:00+01:00,2022-01-13 11:30:00+01:00,None,None
Asta - klöjvning/jogging,2022-01-14 12:00:00+01:00,2022-01-14 12:30:00+01:00,None,None
Asta - nytt trix,2022-01-17 10:30:00+01:00,2022-01-17 11:00:00+01:00,None,None
Asta - nosarbete,2022-01-18 10:30:00+01:00,2022-01-18 11:00:00+01:00,None,None
Asta - berikning (naturliga beteenden),2022-01-19 10:30:00+01:00,2022-01-19 11:00:00+01:00,None,None
"Asta - dogparkour, utmaning",2022-01-20 10:30:00+01:00,2022-01-20 11:00:00+01:00,None,None
"Asta - lydnad (stanna, inkallning)",2022-01-21 10:30:00+01:00,2022-01-21 11:00:00+01:00,None,None
Asta,2022-02-10 07:00:00+01:00,2022-02-10 08:30:00+01:00,None,None
Asta,2022-02-11 09:00:00+01:00,2022-02-11 10:00:00+01:00,None,None
Asta,2022-02-09 14:30:00+01:00,2022-02-09 15:30:00+01:00,None,None
Asta,2022-02-14 10:30:00+01:00,2022-02-14 12:00:00+01:00,None,None
Asta,2022-02-14 09:15:00+01:00,2022-02-14 10:30:00+01:00,None,None
Asta,2022-02-15 07:30:00+01:00,2022-02-15 08:30:00+01:00,None,None
Asta,2022-02-16 09:15:00+01:00,2022-02-16 10:45:00+01:00,None,None
Asta,2022-02-17 07:30:00+01:00,2022-02-17 08:30:00+01:00,None,None
Asta,2022-02-18 10:00:00+01:00,2022-02-18 12:00:00+01:00,None,None
Asta,2022-02-14 13:45:00+01:00,2022-02-14 14:45:00+01:00,None,None
Asta,2022-02-14 12:45:00+01:00,2022-02-14 13:45:00+01:00,None,None
Asta,2022-02-16 13:00:00+01:00,2022-02-16 14:00:00+01:00,None,None
Asta,2022-02-17 12:00:00+01:00,2022-02-17 13:00:00+01:00,None,None
Asta,2022-02-23 14:15:00+01:00,2022-02-23 15:15:00+01:00,None,None
Asta,2022-03-04 12:00:00+01:00,2022-03-04 13:00:00+01:00,None,None
Asta,2022-03-09 05:30:00+00:00,2022-03-09 06:30:00+00:00,None,None
Asta,2022-03-10 05:30:00+00:00,2022-03-10 07:00:00+00:00,None,None
Asta,2022-03-07 14:30:00+01:00,2022-03-07 15:30:00+01:00,None,None
Asta,2022-03-08 11:00:00+01:00,2022-03-08 12:30:00+01:00,None,None
Asta,2022-02-21 10:00:00+01:00,2022-02-21 11:30:00+01:00,None,None
Asta,2022-03-04 09:00:00+01:00,2022-03-04 10:30:00+01:00,None,None
Asta,2022-03-08 06:30:00+01:00,2022-03-08 07:40:00+01:00,None,None
Asta,2022-03-09 11:30:00+01:00,2022-03-09 12:30:00+01:00,None,None
Asta,2022-03-10 12:00:00+01:00,2022-03-10 13:30:00+01:00,None,None
Asta,2022-03-11 06:30:00+01:00,2022-03-11 08:00:00+01:00,None,None
Asta,2022-03-11 12:00:00+01:00,2022-03-11 13:00:00+01:00,None,None
Asta,2022-03-14 07:30:00+00:00,2022-03-14 08:40:00+00:00,None,None
Asta,2022-03-14 10:30:00+01:00,2022-03-14 12:00:00+01:00,None,None
Asta,2022-03-14 11:30:00+01:00,2022-03-14 13:00:00+01:00,None,None
